Recipes_name,Ingredients,Recipes,Flavor,Difficulty,Estimated Cooking Time
Fried Squid Rings,Frozen Squid Rings; Cooking Wine; Salt; Pepper; Egg; Starch; Bread Crumbs,"Step 1: Defrost squid rings and marinate with salt, pepper, and wine for 15–20 minutes. Step 2: Coat with starch, dip in egg, then cover with breadcrumbs. Step 3: Deep-fry over medium heat for 6–8 minutes until golden and crisp. Step 4: Drain oil and serve warm.",Crispy and mild,Medium,25 mins
Braised Sea Cucumber with Scallion,Sea Cucumber; Scallion; Soy Sauce; Oyster Sauce; Salt; Starch,"Step 1: Slice sea cucumber into sections. Step 2: Mix soy sauce, oyster sauce, and salt for seasoning. Step 3: Fry scallions in more oil until soft and fragrant. Step 4: Add sea cucumber and sauce, cover and simmer for 5 minutes. Step 5: Add starch slurry to thicken before serving.",Rich and aromatic,Hard,40 mins
Pickled Mustard Pork Noodle Soup,Pickled Mustard; Shredded Pork; Chili; Sichuan Pepper; Star Anise; Ginger; Garlic; Soy Sauce; Oyster Sauce; Salt; Noodles; Cilantro; Garlic Sprouts,"Step 1: Stir-fry garlic, ginger, and pork until browned, then add chili, star anise, and pepper. Step 2: Add pickled mustard and seasonings, stir well. Step 3: Add water and cook noodles directly in the broth. Step 4: Adjust flavor, top with cilantro and garlic sprouts before serving.",Sour and spicy,Medium,30 mins
Sesame Green Bean Noodles,Noodles; Long Beans; Oil; Garlic; Sesame Paste,"Step 1: Cook noodles and cool in cold water. Step 2: Boil long beans for 10 minutes and drain. Step 3: Heat oil with Sichuan pepper, pour over beans. Step 4: Mix sesame paste until smooth and drizzle over beans. Step 5: Toss everything together and serve cold.",Nutty and savory,Easy,20 mins
Snowy Mochi Cake (Daifuku),Glutinous Rice Flour; Cornstarch; Sugar; Milk; Butter; Whipping Cream; Fruits; Oreo; Red Bean Paste,"Step 1: Mix glutinous flour, cornstarch, sugar, and milk, steam for 15 minutes. Step 2: Add butter and knead until smooth. Step 3: Whip cream with sugar. Step 4: Flatten dough, fill with cream and fruits, wrap and seal. Step 5: Chill before serving.",Sweet and chewy,Medium,45 mins
Plum-Braised Duck Legs,Duck Legs; Dried Plums; Soy Sauce; Dark Soy Sauce; Rock Sugar; Salt; Star Anise,"Step 1: Blanch duck legs in cold water, remove and cut into pieces. Step 2: Soak plums in warm water. Step 3: Heat oil, melt rock sugar, add duck to caramelize. Step 4: Add soy sauce for flavor. Step 5: Pour in hot water, soaked plums, and spices, simmer 40 minutes. Step 6: Reduce sauce until thick, serve.",Sweet and tangy,Medium,60 mins
Beef Soy Milk Udon,Garlic; Ginger; Onion; Ground Beef; Udon Noodles; Sesame Peanut Paste; Miso Paste; Scallion,"Step 1: Stir-fry garlic, ginger, and onion, then add beef and sauces (soy, miso, mushroom sauce), cook until brown. Step 2: Boil udon noodles, drain, and prepare soy milk soup. Step 3: Mix soy milk with sesame paste and salt, heat gently. Step 4: Combine noodles, soup, and beef, top with scallions.",Creamy and savory,Medium,30 mins
Pineapple Fermented Tofu,Pineapple; Firm Tofu; Salt; Sugar; Liquor,"Step 1: Cut tofu into cubes, coat evenly with salt, refrigerate 1–2 days, and drain excess water. Step 2: Dry in oven at 90°C for 8 hours. Step 3: Steam 5 minutes to sterilize, cool. Step 4: Mix chopped pineapple with equal weight sugar. Step 5: Layer pineapple-sugar mix and tofu alternately in jar, top with liquor, seal tightly. Step 6: Ferment at 25–35°C for about 2 months.",Sweet and fermented,Hard,2 months
Sweet Potato Starch Cold Noodles,Sweet Potato Starch; Water; Salt,"Step 1: Mix all ingredients and strain. Step 2: Pour into mold and steam 3 minutes after boiling. Step 3: Cool in water, peel off. Step 4: Slice and serve with preferred sauce.",Soft and chewy,Easy,30 mins
Braised Duck with Pickled Chili,Duck; Pickled Ginger; Pickled Chili; Green Chili; Ginger; Garlic; Bean Paste; Soy Sauce; Cooking Wine,"Step 1: Blanch duck, drain. Step 2: Stir-fry duck until golden and dry. Step 3: Add pickled ginger, chili, and bean paste, stir-fry. Step 4: Pour in boiling water to cover, simmer 40 minutes. Step 5: Add green chili and tender ginger, stir-fry until fragrant and serve.",Spicy and aromatic,Hard,60 mins
Pan-Seared Spare Ribs,Pork Ribs; Green Pepper; Red Pepper; Shallot; Garlic; Scallion,"Step 1: Marinate ribs with soy sauce, oyster sauce, starch, and spices. Step 2: Pan-fry until golden on both sides. Step 3: Add wine to remove odor, then stir-fry with peppers, garlic, and shallot. Step 4: Pour in sauce mix, cook until thick and glossy.",Savory and rich,Medium,40 mins
Shredded Pork with Celery and Mustard Sauce,Pork Loin; Celery; Bean Noodles; Mustard Oil; Mustard Paste; Sesame Paste; Soy Sauce; Vinegar; Garlic,"Step 1: Marinate shredded pork with soy sauce, starch, egg white, and seasoning. Step 2: Boil bean noodles, drain. Step 3: Stir-fry pork and celery separately. Step 4: Mix garlic water with vinegar, mustard paste, and sesame paste, pour over noodles. Step 5: Add pork and celery on top, mix well before eating.",Refreshing and spicy,Medium,35 mins
Pork and Century Egg Wontons,Ground Pork; Century Egg; Wonton Wrappers; Soy Sauce; Salt; Oyster Sauce; Pepper; Ginger-Scallion Water,"Step 1: Mix pork with soy sauce, salt, oyster sauce, pepper, and egg, add ginger-scallion water gradually, stir until springy. Step 2: Chop century eggs finely. Step 3: Place pork and century egg on wrapper, fold and seal. Step 4: Boil until wontons float, serve with broth.",Mild and savory,Medium,30 mins
Spicy Crayfish,Crayfish; Ginger; Onion; Chili; Hot Pot Base; Beer; Soy Sauce; Oyster Sauce; Garlic; Yellow Bean Paste,"Step 1: Clean crayfish and remove veins. Step 2: Fry until red, set aside. Step 3: In same pan, fry ginger, onion, chili, and base sauce. Step 4: Add soy sauce, oyster sauce, and beer, simmer 15 minutes. Step 5: Add MSG before serving.",Spicy and rich,Hard,45 mins
Stir-Fried Wagyu Beef with Bell Pepper,Wagyu Beef; Bell Pepper; Soy Sauce; Salt; Wine; Oyster Sauce; Ginger,"Step 1: Cut beef into cubes, marinate with soy sauce, salt, wine, and ginger. Step 2: Stir-fry bell peppers 1–2 minutes, set aside. Step 3: Sear beef cubes, add oyster sauce and water to desired doneness. Step 4: Mix peppers back in and stir briefly.",Juicy and flavorful,Medium,25 mins
Steamed Corn Rice Cake,Corn; Glutinous Rice Flour; Sugar,"Step 1: Blend corn kernels, mix with sugar and glutinous rice flour to form thick paste. Step 2: Spread on corn leaves, steam 15 minutes. Step 3: Optional: pan-fry until lightly golden.",Sweet and soft,Easy,25 mins
Stir-Fried Lotus Shoots with Vinegar,Lotus Shoots; Chili; Pickled Pepper; Ginger; Garlic; Cilantro; Vinegar; Salt,"Step 1: Stir-fry garlic, chili, and ginger until fragrant. Step 2: Add lotus shoots, salt, soy sauce, and vinegar. Step 3: Add cilantro before removing from heat.",Sour and spicy,Easy,15 mins
Spicy Potato Noodle Hotpot,Garlic; Chili; Sichuan Pepper; Hotpot Base; Bean Paste; Broth Cube; Noodles; Vegetables; Sesame Paste,"Step 1: Mix sesame paste with warm water until smooth. Step 2: Fry garlic, chili, and pepper until fragrant, add hotpot base and bean paste. Step 3: Pour in water, add broth cube, and simmer. Step 4: Remove solids, season with soy sauce, sugar, and oyster sauce. Step 5: Add sesame paste, bring soup to boil, then add noodles and vegetables. Step 6: Finish with crushed peanuts.",Spicy and nutty,Hard,40 mins
Beef Patty with Mushroom Rice,Beef Patty; Onion; Mushrooms; Egg; Rice; Soy Sauce; Oyster Sauce,"Step 1: Prepare beef patties from minced beef, pork, and onion. Pan-fry until golden. Step 2: Stir-fry onion and mushrooms, add soy sauce and oyster sauce, simmer with beef patty. Step 3: Serve over rice, top with fried egg and chopped scallion.",Hearty and savory,Medium,40 mins
Pickled Mustard Greens,Mustard Greens; Salt; Soy Sauce; Vinegar; Chili; Ginger; Sichuan Pepper,"Step 1: Clean and dry mustard greens, sprinkle salt to draw water. Step 2: Boil soy sauce, vinegar, chili, ginger, and spices, cool. Step 3: Pour over greens in sterilized jar, seal and store for fermentation.",Salty and tangy,Medium,3 days
Pumpkin Cod Rice,Cod Fish; Pumpkin; Rice,"Step 1: Steam pumpkin and mash. Step 2: Marinate cod slices with salt and starch, pan-fry until cooked. Step 3: Add pumpkin mash, stir with water, and mix with cooked rice.",Mild and nutritious,Easy,25 mins
Pork and Lotus Root Wontons,Ground Pork; Lotus Root; Wonton Wrappers; Salt; Pepper,"Step 1: Chop lotus root and mix with seasoned minced pork. Step 2: Wrap in wonton wrappers, seal edges. Step 3: Boil until wontons float, serve hot.",Crisp and juicy,Easy,25 mins
Salt-Baked Chicken,Whole Chicken; Salt-Baked Chicken Seasoning,"Step 1: Rub chicken with seasoning inside and out, marinate 30 minutes. Step 2: Cook in rice cooker (no or little water). Step 3: Let cool slightly, chop, and drizzle with leftover juices before serving.",Fragrant and tender,Easy,45 mins
Spicy Chicken with Green Peas,Dried Chili; Chicken Thigh; Green Peas; Yellow Wine; Soy Sauce; Sugar; Salt,"Step 1: Cut chili and chicken into small pieces. Step 2: Blanch green peas and freeze for later use. Step 3: Marinate chicken with soy sauce and a bit of sugar. Step 4: Stir-fry green peas briefly, then add chicken, yellow wine, and salt. Step 5: Add chili, stir-fry until cooked through.",Spicy and savory,Medium,25 mins
Grilled Pork Belly,Pork Belly; Onion; Ginger; Salt; Five-Spice; White Pepper; Soy Sauce; Chili Oil; Egg,"Step 1: Cut pork belly into thick slices. Step 2: Marinate with onion, ginger, salt, spices, soy sauce, chili oil, and egg. Step 3: Grill both sides until golden. For marinated flavor, sprinkle chili powder and barbecue seasoning while grilling.",Smoky and rich,Medium,40 mins
Grilled Squid,Squid; Cooking Oil; BBQ Sauce; BBQ Seasoning,"Step 1: Clean squid, soak for 5 minutes. Step 2: Grill one side until golden and slightly crispy, then flip. Step 3: Brush oil, cut into strips, add BBQ sauce and more oil, sprinkle seasoning, and grill 1–2 minutes more.",Savory and smoky,Easy,20 mins
Grilled Chicken Feet,Chicken Feet; Oyster Sauce; Salt; Chili Oil; Garlic; BBQ Seasoning; Sugar,"Step 1: Trim nails, split from inside, rinse thoroughly. Step 2: Marinate with oyster sauce, salt, chili oil, minced garlic, and spices. Step 3: Grill slowly until translucent, brush oil several times. Step 4: Before done, sprinkle sugar, brush with oil, and coat with BBQ seasoning.",Spicy and chewy,Medium,35 mins
Grilled Oysters with Vermicelli,Oysters; Vermicelli; Garlic; Chili; Scallion; Soy Sauce,"Step 1: Open and clean oysters. Step 2: Mix minced garlic, chili, and soy sauce. Step 3: Steam or grill oysters until bubbling. Step 4: Top each with vermicelli, garlic sauce, chopped chili, and scallion, grill 2 more minutes.",Garlicky and fresh,Easy,15 mins
Grilled Green Peppers,Green Pepper,"Step 1: Grill until skin is blistered, flip to cook evenly. Step 2: Drain excess liquid, brush oil and BBQ sauce, sprinkle seasoning, and grill again.",Smoky and spicy,Easy,10 mins
Grilled Beef Skewers,Beef; Onion; Cumin; Salt; BBQ Seasoning,"Step 1: Cut beef into cubes, soak in onion water, season with MSG and salt. Step 2: Skewer, brush oil, sprinkle salt, and grill. Step 3: When slightly charred, sprinkle cumin and seasoning.",Juicy and spicy,Medium,25 mins
Grilled Eggplant,Eggplant; Garlic; Chili; Scallion; Cilantro,"Step 1: Grill whole eggplant until soft on both sides. Step 2: Cut open and flatten, brush oil and garlic sauce. Step 3: Sprinkle chili, scallion, and cilantro, grill until fragrant.",Soft and garlicky,Easy,20 mins
Grilled Pork Skewers,Pork Shoulder; Onion; Ginger; Egg White; Five-Spice,"Step 1: Cut pork into diamond-shaped pieces, marinate with onion, ginger, spices, and egg white. Step 2: Skewer and grill until golden on both sides, sprinkle seasoning.",Tender and aromatic,Medium,30 mins
Grilled Chicken Wings,Chicken Wings; Onion; Garlic; Ginger; Spices; Soy Sauce,"Step 1: Clean chicken wings. Step 2: Marinate spicy version with onion, chili, and seasoning, or mild version with soy sauce, sugar, and oil. Step 3: Grill both sides until golden, sprinkle BBQ seasoning before serving.",Juicy and flavorful,Medium,30 mins
Homemade Donkey-Hide Gelatin,Donkey Skin; Ginger; Rock Sugar; Yellow Wine; Red Dates; Goji; Walnut; Black Sesame,"Step 1: Boil donkey skin with ginger to remove odor, soak overnight, rinse clean. Step 2: Simmer repeatedly until gelatin dissolves. Step 3: Add rock sugar and wine, reduce until thick. Step 4: Mix with dried fruits and sesame, pour into mold, refrigerate overnight. Step 5: Cut into small blocks and store in fridge.",Sweet and nourishing,Hard,5 hrs
Grilled Lamb Skewers,Lamb; Onion; Egg White; Cumin; Salt; Oil,"Step 1: Cut lamb and fat tail into cubes, mix with egg white, onion water, salt, and cumin. Step 2: Skewer and grill, sprinkle salt, and roast until golden. Step 3: Add cumin and seasoning before serving.",Fragrant and spicy,Medium,30 mins
Stir-Fried Gourd with Edamame and Pork,Edamame; Gourd; Shredded Pork; Salt,"Step 1: Prepare all ingredients. Step 2: Stir-fry together with a little oil and water until tender, season with salt.",Fresh and light,Easy,15 mins
Spinach Egg Noodles,Egg; Spinach; Scallion; Ginger; Soy Sauce; Sesame Oil; Dried Noodles,"Step 1: Beat eggs, chop spinach and aromatics. Step 2: Fry scallion and ginger, add spinach. Step 3: Add boiling water and cook noodles. Step 4: Add salt, soy sauce, and pour egg mixture. Step 5: Add sesame oil before serving.",Light and comforting,Easy,10 mins
Soy-Pickled Radish and Soybeans,Dried Radish; Soybeans; Soy Sauce; Oyster Sauce; Chili; Scallion; Garlic; Spices,"Step 1: Soak radish and soybeans overnight. Step 2: Steam both until soft. Step 3: Stir-fry aromatics and spices in oil. Step 4: Add radish and soybeans with sauces, simmer and reduce to coat evenly.",Savory and slightly sweet,Medium,40 mins
Spicy Braised Chicken Feet,Chicken Feet; Chili; Soy Sauce; Beer; Garlic; Ginger; Star Anise; Cinnamon; Pepper,"Step 1: Blanch chicken feet with ginger, scallion, and wine. Step 2: Stir-fry with spices and sauces, add beer or water to cover, simmer 30 minutes. Step 3: Stir-fry with chili and garlic, reduce sauce until thick.",Spicy and rich,Hard,50 mins
Tremella Lotus Seed Sweet Soup,Tremella; Lotus Seed; Red Dates; Rock Sugar; Goji; Water,"Step 1: Soak tremella and lotus seeds for 2 hours, remove lotus cores. Step 2: Cook 45 minutes until soft, add red dates and rock sugar. Step 3: Cook another 30 minutes, then add goji.",Sweet and nourishing,Easy,90 mins
Home-Style Braised Fish,Fish; Scallion; Ginger; Garlic; Egg; Soy Sauce; Starch; Star Anise Powder,"Step 1: Cut fish, marinate with soy sauce, egg, and starch, then fry until golden. Step 2: Stir-fry aromatics, add water and fried fish, simmer 1 hour.",Rich and savory,Medium,60 mins
Stir-Fried Gourd with Edamame and Shredded Pork,Edamame; Gourd; Shredded Pork; Salt,"Step 1: Prepare ingredients — shell the edamame, slice the gourd, and cut pork into shreds. Step 2: Heat a little oil in a pan, add all ingredients, and stir-fry. Step 3: Add a little water and salt, cover to simmer. Step 4: Taste for saltiness, reduce sauce, and serve.",Fresh and light,Easy,15 mins
Spinach Egg Noodles (10-Minute Breakfast),Egg; Spinach; Scallion; Ginger; Sesame Oil; Soy Sauce; Dried Noodles; Salt; Chicken Essence,"Step 1: Beat eggs, cut spinach, chop scallion and ginger. Step 2: Heat oil, sauté scallion and ginger, then add spinach and stir-fry briefly. Step 3: Add boiling water, cook noodles according to package time. Step 4: Add salt, soy sauce, and pour in egg mixture. Step 5: Before serving, add chicken essence and drizzle sesame oil.",Light and nutritious,Easy,10 mins
Soy-Pickled Radish and Soybeans,Dried Radish; Soybeans; Soy Sauce; Oyster Sauce; Chili; Scallion; Garlic; Star Anise; Bay Leaf; Cilantro Root,"Step 1: Soak dried radish for a day (cut thick ones midway and soak again), soak soybeans as well. Step 2: Steam radish 20 mins and soybeans 15 mins. Step 3: Stir-fry bay leaf, peppercorns, star anise, scallion, garlic, and chili in oil. Step 4: Add steamed radish and soybeans, season with soy sauce and oyster sauce, simmer to reduce. Step 5: Leave some sauce, cool, and refrigerate in jars — best eaten within 20 days.",Savory and slightly sweet,Medium,45 mins
Tremella Lotus Seed Sweet Soup,Tremella; Lotus Seeds; Red Dates; Rock Sugar; Goji Berries; Water,"Step 1: Soak tremella and lotus seeds for 2 hours, remove lotus cores, and cut tremella into small pieces. Step 2: Cook in rice cooker for 45 minutes. Step 3: Add red dates and rock sugar, cook 30 minutes more. Step 4: Add goji berries at the end and adjust sweetness.",Sweet and nourishing,Easy,90 mins
Home-Style Braised Fish,Fish; Scallion; Ginger; Garlic; Egg; Soy Sauce; Starch; Star Anise Powder,"Step 1: Cut fish into pieces, marinate with soy sauce, egg, starch, and salt. Step 2: Fry until golden brown. Step 3: In another pot, heat oil, sauté scallion, ginger, garlic, and spices, add water and fish. Step 4: Simmer for about 1 hour, garnish with scallion before serving.",Rich and savory,Medium,60 mins
Stir-Fried Gourd with Edamame and Shredded Pork,Edamame; Gourd; Shredded Pork; Salt,"Step 1: Prepare ingredients — shell the edamame, slice the gourd, and cut pork into shreds. Step 2: Heat a little oil in a pan, add all ingredients, and stir-fry. Step 3: Add a little water and salt, cover to simmer. Step 4: Taste for saltiness, reduce sauce, and serve.",Fresh and light,Easy,15 mins
Spinach Egg Noodles (10-Minute Breakfast),Egg; Spinach; Scallion; Ginger; Sesame Oil; Soy Sauce; Dried Noodles; Salt; Chicken Essence,"Step 1: Beat eggs, cut spinach, chop scallion and ginger. Step 2: Heat oil, sauté scallion and ginger, then add spinach and stir-fry briefly. Step 3: Add boiling water, cook noodles according to package time. Step 4: Add salt, soy sauce, and pour in egg mixture. Step 5: Before serving, add chicken essence and drizzle sesame oil.",Light and nutritious,Easy,10 mins
Soy-Pickled Radish and Soybeans,Dried Radish; Soybeans; Soy Sauce; Oyster Sauce; Chili; Scallion; Garlic; Star Anise; Bay Leaf; Cilantro Root,"Step 1: Soak dried radish for a day (cut thick ones midway and soak again), soak soybeans as well. Step 2: Steam radish 20 mins and soybeans 15 mins. Step 3: Stir-fry bay leaf, peppercorns, star anise, scallion, garlic, and chili in oil. Step 4: Add steamed radish and soybeans, season with soy sauce and oyster sauce, simmer to reduce. Step 5: Leave some sauce, cool, and refrigerate in jars — best eaten within 20 days.",Savory and slightly sweet,Medium,45 mins
Tremella Lotus Seed Sweet Soup,Tremella; Lotus Seeds; Red Dates; Rock Sugar; Goji Berries; Water,"Step 1: Soak tremella and lotus seeds for 2 hours, remove lotus cores, and cut tremella into small pieces. Step 2: Cook in rice cooker for 45 minutes. Step 3: Add red dates and rock sugar, cook 30 minutes more. Step 4: Add goji berries at the end and adjust sweetness.",Sweet and nourishing,Easy,90 mins
Home-Style Braised Fish,Fish; Scallion; Ginger; Garlic; Egg; Soy Sauce; Starch; Star Anise Powder,"Step 1: Cut fish into pieces, marinate with soy sauce, egg, starch, and salt. Step 2: Fry until golden brown. Step 3: In another pot, heat oil, sauté scallion, ginger, garlic, and spices, add water and fish. Step 4: Simmer for about 1 hour, garnish with scallion before serving.",Rich and savory,Medium,60 mins
Mixed Vegetable Omelet,Onion; Mushroom; Egg; Cherry Tomato; Spinach; Black Pepper,"Step 1: Chop onion, cut mushrooms, beat eggs with salt, slice tomatoes, and blanch spinach. Step 2: Sauté onion until fragrant, add mushrooms, tomatoes, and spinach, season with salt and pepper. Step 3: Pour in beaten eggs, cover, and cook until set, flipping once.",Light and savory,Easy,15 mins
Crab Stick Scrambled Eggs,Crab Sticks; Eggs; Milk; Low-Fat Cheese; Black Pepper Salt,"Step 1: Shred crab sticks. Beat eggs with milk and pepper salt, add crab sticks. Step 2: Heat oil, pour egg mixture, gently push to one side as it sets. Top with cheese, cover, and cook until melted.",Creamy and mild,Easy,10 mins
Seaweed Fried Egg,Eggs; Seaweed; Scallion,"Step 1: Rinse seaweed, drain, chop scallions, and beat eggs. Step 2: Dry-fry seaweed on low heat until crisp, mix with egg and scallion. Step 3: Fry both sides until golden.",Fragrant and crisp,Easy,10 mins
Stir-Fried Eggs with Ham and Peppers,Eggs; Ham Sausage; Green Chili; Garlic,"Step 1: Scramble eggs and set aside. Step 2: Fry ham until golden. Step 3: Add green chili and stir-fry until tender. Step 4: Add eggs and sauce (soy sauce, vinegar, oyster sauce, cornstarch, water), mix well.",Spicy and savory,Easy,15 mins
Sweet and Sour Cherry Radish,Cherry Radish; Sugar; Rice Vinegar; Soy Sauce; Salt,"Step 1: Slice radishes thin, salt for 30 minutes, rinse and drain. Step 2: Mix 1 spoon salt, 3 sugar, 3 vinegar, 1 soy sauce, stir well, marinate 1 hour or overnight.",Sweet and tangy,Easy,40 mins
Braised Pork Belly with Preserved Vegetables,Pork Belly; Preserved Mustard Greens; Dark Soy Sauce; Light Soy Sauce; Salt,"Step 1: Boil pork belly, prick skin, fry until golden, soak in cold water until wrinkled. Step 2: Slice and marinate with soy sauce and salt. Step 3: Place skin-side down with soaked mustard greens, steam 1 hour, invert to serve.",Savory and rich,Hard,90 mins
Savory Crispy Pastry,Flour; Butter; Canola Oil; Sugar; Salt; Nuts; Sesame; Cumin; Coconut; Starch,"Step 1: Make two doughs (water-oil and oil paste), rest 30 min. Step 2: Wrap oil dough inside water dough, roll flat and fold. Step 3: Roll out, fill with nut and sesame filling, shape oval, brush egg wash, sprinkle sesame. Step 4: Bake at 200°C for 15 min.",Crispy and nutty,Hard,45 mins
Pork and Baby Cabbage Dumplings,Baby Cabbage; Ground Pork; Scallion; Ginger; Egg; Soy Sauce; Sesame Oil; Flour; Salt,"Step 1: Chop pork and cabbage separately. Step 2: Mix pork with egg, oil, and seasoning. Step 3: Add ginger-scallion juice. Step 4: Mix with cabbage and salt. Step 5: Make dumpling wrappers and fill. Step 6: Steam 15 minutes, let rest 5 minutes before serving.",Juicy and tender,Medium,50 mins
Blanched Razor Clams,Razor Clams; Scallion; Ginger; Garlic; Soy Sauce; Chili,"Step 1: Soak clams in salt water for 2 hours to remove sand. Step 2: Boil with ginger, scallion, and wine until shells open. Step 3: Remove half-shell, rinse, and plate. Step 4: Top with garlic, chili, soy sauce, and pour hot oil on top.",Fresh and garlicky,Easy,20 mins
Mushroom Chicken Vermicelli,Rice Noodles; Chicken Breast; Mushrooms; Cilantro; Chives; Ginger; Soy Sauce,"Step 1: Soak noodles 15 min, rinse. Step 2: Slice mushrooms and chicken, marinate with soy sauce and starch. Step 3: Fry ginger, onion, and chili paste, add mushrooms and water. Step 4: Add seasonings and chicken, cook 10 min. Step 5: Pour soup over noodles and garnish.",Fragrant and hearty,Medium,40 mins
Braised Chicken Feet Pot,Chicken Feet; Potato; Spices; Ginger; Chili; Soy Sauce; Bean Paste,"Step 1: Blanch chicken feet with ginger and scallion. Step 2: Fry bean paste and spices until fragrant. Step 3: Add chicken feet, soy sauces, and beer, simmer 30 min. Step 4: Add potatoes, cook until tender, reduce sauce.",Spicy and thick,Hard,60 mins
Stir-Fried Eggs with Scallops and Peppers,Scallops; Green Chili; Egg; White Pepper; Soy Sauce,"Step 1: Marinate scallops with wine and pepper. Step 2: Cook eggs until set, remove. Step 3: Stir-fry chili, add scallops, eggs, soy sauce, and salt, cook quickly to avoid overcooking.",Fresh and spicy,Medium,20 mins
Spicy Edamame,Edamame; Garlic; Chili; Soy Sauce; Vinegar; Sugar; Oyster Sauce,"Step 1: Trim ends of edamame, boil with salt and spices 7 min, cool. Step 2: Mix garlic, chili, soy sauce, sugar, and vinegar into sauce. Step 3: Pour over edamame, refrigerate before serving.",Spicy and savory,Easy,20 mins
Spinach Salad,Spinach; Garlic; Chili; Vinegar; Soy Sauce; Sugar; Salt,"Step 1: Blanch spinach, cool, and squeeze dry. Step 2: Pour hot oil over garlic and chili. Step 3: Add soy sauce, vinegar, sugar, and salt, mix well.",Fresh and sour,Easy,10 mins
Spicy Stir-Fried Fresh Clams,Clam Meat; Pork; Chili; Garlic; Soy Sauce; Oyster Sauce; Cumin,"Step 1: Slice clams and pork, cut chili and garlic. Step 2: Fry garlic, add pork, then clams. Step 3: Add chili, soy sauces, oyster sauce, and cumin. Step 4: Stir-fry until flavorful.",Spicy and aromatic,Medium,25 mins
Pork Tripe and Chicken Soup with Yam and Lotus Seeds,Pork Tripe; Chicken; Lotus Seed; Yam; Red Dates; Goji; Ginger,"Step 1: Clean tripe with flour and vinegar, blanch with ginger. Step 2: Fry with chicken and spices, add water until white. Step 3: Pressure cook 8 min, then add yam and lotus seed, cook 3 more min, add red dates and goji before serving.",Nourishing and mild,Hard,90 mins
Air Fryer Chicken Drumsticks,Chicken Drumsticks; Soy Sauce; Oyster Sauce; Ginger; Honey; Pepper; Salt,"Step 1: Clean and score drumsticks, marinate with sauces, ginger, and honey for 45 min. Step 2: Air fry at 180°C for 15 min, flip, and cook 10 more min at 200°C.",Sweet and savory,Easy,30 mins
Sweet Corn Pancakes,Cornmeal; Flour; Sugar; Egg; Oil; Water,"Step 1: Mix cornmeal, flour, egg, sugar, oil, and water into batter. Step 2: Pour batter into pan, cook until set, flip, and cook another 15 seconds.",Sweet and soft,Easy,10 mins
Papaya Pork Bone Soup with Dried Scallops,Papaya; Pork Bone; Dried Scallop; Ginger; Dried Tangerine Peel,"Step 1: Add all ingredients with water into pressure cooker. Step 2: Add papaya chunks, simmer 40 min until soup is milky.",Sweet and soothing,Medium,60 mins
Stir-Fried Bitter Melon with Chili and Egg,Bitter Melon; Chili; Egg; Garlic; Soy Sauce; Vinegar; Oyster Sauce,"Step 1: Slice bitter melon thinly, cut chili, beat eggs. Step 2: Fry eggs, set aside. Step 3: Sauté garlic, add melon and chili, stir-fry with soy sauce, sugar, vinegar, and oyster sauce, then mix eggs back in.",Spicy and slightly bitter,Medium,20 mins
Minced Pork with Eggplant,Eggplant; Ground Pork; Soy Sauce; Garlic; Ginger; Starch; Scallion,"Step 1: Marinate pork with soy sauce and starch 30 min. Step 2: Boil diced eggplant 3 min to soften. Step 3: Stir-fry pork until browned, add eggplant, soy sauce, and scallion, cook until fragrant.",Savory and soft,Medium,25 mins
"Chicken, Potato, and Corn Hotpot",Chicken Drumsticks; Potato; Corn; Bean Curd Sheets; Chili; Soy Sauce; Bean Paste,"Step 1: Blanch chicken with ginger. Step 2: Fry bean paste and chili until fragrant, add chicken, potato, and corn. Step 3: Add sauces, water, and cook 15–20 minutes, add bean curd near end, garnish with cilantro.",Spicy and hearty,Hard,50 mins
Pineapple Braised Chicken,Chicken; Pineapple; Sugar; Soy Sauce; Salt,"Step 1: Fry sugar until caramelized, add chicken, stir until dry. Step 2: Add hot water and salt, simmer 15 min. Step 3: Add pineapple, cook 5 min more, reduce sauce.",Sweet and sour,Medium,30 mins
Stir-Fried Baby Cabbage with Vinegar,Baby Cabbage; Garlic; Chili; Soy Sauce; Vinegar; Oyster Sauce; Salt,"Step 1: Cut cabbage into thick strips. Step 2: Sauté garlic and chili. Step 3: Add cabbage, soy sauce, oyster sauce, and salt, stir-fry until soft, finish with vinegar.",Sour and spicy,Easy,15 mins
Stir-Fried Rice Noodles,Rice Noodles; Egg; Carrot; Bok Choy; Garlic; Soy Sauce; Sesame Oil; Chili Oil,"Step 1: Prepare noodles, vegetables, and egg mixture. Step 2: Fry egg, set aside. Step 3: Stir-fry garlic, carrot, and bok choy, add noodles and sauces, mix well. Step 4: Add sesame and chili oil before serving.",Savory and smoky,Medium,25 mins
Braised Tofu with Satay Sauce,Soft Tofu; Satay Sauce; Soy Sauce; Scallion; Starch,"Step 1: Cut tofu cubes and fry until golden. Step 2: Mix satay sauce, soy sauce, and water, pour into pan and simmer. Step 3: Add starch slurry and scallion, cook until sauce thickens.",Fragrant and umami,Easy,20 mins
Garlic Tilapia Fillet,Tilapia; Garlic; Scallion; Ginger; Soy Sauce; Oyster Sauce; Sesame,"Step 1: Slice fish thinly, marinate with salt and starch. Step 2: Blanch briefly, then fry with garlic, ginger, and scallion. Step 3: Add sauces, toss well, and top with sesame.",Garlicky and tender,Easy,20 mins
